# NOAA Paleoclimatology Program - Paleocean Site Data
# v19-28-fwc.txt
# Complete Data
# File Created: 18-Jan-2005
#
#*********************************************************************************
# Please cite the contributor and the original publications when using these data
#*********************************************************************************
#
# Missing Values indicated by '-999'
#
# PI:             CLIMAP
# Core/Site:      V19-28
# Latitude:       2.22.00S	( -2.36667)
# Longitude:      84.39.00W	( -84.65)
# Water Depth(m): 2720
#
# Publications:
#   CLIMAP Project Members. 1981. Seasonal reconstruction of the Earth's surface
#     at the last glacial maximum. Geological Society of America, Map and Chart Series,
#     p. 1-18.
#------------------
#
# Description & Notes:
#   CLIMAP 18K Database
#   CLIMAP d13C and d18O values have been divided by 100.
#
# Variables:
#             depth         Depth (cm)
#             d18O          delta O18 PDB
#
# CORE: V19-28
depth         d18O          
 0             3.2          
 10            3.16         
 20            3.17         
 30            3.46         
 40            3.51         
 50            3.6          
 60            3.58         
 70            4.37         
 80            4.29         
 90            4.48         
 100           4.48         
 110           4.84         
 120           4.91         
 130           4.92         
 140           4.79         
 150           4.75         
 160           4.9          
 170           4.79         
 180           4.68         
 190           4.81         
 200           4.58         
 210           4.53         
 220           4.43         
 230           4.46         
 240           4.49         
 250           4.51         
 260           4.53         
 270           4.33         
 280           4.48         
 290           4.31         
 300           4.43         
 310           4.56         
 320           4.28         
 330           4.44         
 340           4.29         
 350           4.26         
 360           4.36         
 370           4.22         
 380           4.23         
 390           4.66         
 400           4.69         
 410           4.65         
 420           4.55         
 430           4.32         
 440           4.18         
 450           3.82         
 460           3.81         
 470           4.07         
 480           4.18         
 490           3.95         
 500           3.94         
 510           4            
 520           3.93         
 530           3.93         
 540           3.74         
 550           3.62         
 560           3.4          
 570           4.11         
 580           3.72         
 590           4.3          
 600           4.13         
 610           4.65         
 620           4.7          
 620           4.72         
 620           4.81         
 620           5.05         
 630           4.94         
 640           4.65         
 650           4.59         
 660           4.69         
 670           4.6          
 680           4.82         
 690           4.73         
 710           4.47         
 720           4.72         
 740           4.49         
 760           4.44         
 780           4.54         
 800           3.99         
 810           4.06         
 820           3.69         
 830           3.36         
 840           3.71         
 850           4.07         
 860           4.5          
 870           4.29         
 880           4.14         
 890           3.91         
 900           3.56         
 910           3.72         
 920           4.34         
 930           4.74         
 940           4.51         
 950           4.51         
 960           4.5          
 970           4.62         
 980           4.41         
 990           4.59         
 1000          3.67         
 1010          4.48         
 1020          4.46         
 1040          4.18         
 1050          3.8          
 1060          3.72         
 1080          4.3          
 1100          4.07         
 1120          3.88         
 1140          3.85         
 1150          3.87         
 1160          3.16         
 1170          3.68         
 1180          3.96         
 1200          4.65         
 1210          4.85         
 1220          4.81         
 1230          4.81         
 1240          4.6          
 1260          4.54         
 1280          4.46         
 1300          4.43         
 1320          4.24         
 1340          4.3          
 1360          4.13         
 1380          4.2          
 1400          4.06         
 1420          3.9          
 1440          3.94         
 1450          3.79         
 1460          3.52         
 1470          3.43         
 1480          3.16         
 1490          3.16         
 1500          3.35         
 1510          3.4          
 1520          3.23         
 1530          3.57         
 1540          3.63         
 1560          4.05         
 1580          4.22         
 1590          4.47         
 1600          4.85         
 1610          4.82         
 1618          4.98         
 1618          5.09         
