# NOAA Paleoclimatology Program - Paleocean Site Data
# v19-30_isot-fwc.txt
# Isotope data only
# File Created: 18-Jan-2005
#
#*********************************************************************************
# Please cite the contributor and the original publications when using these data
#*********************************************************************************
#
# Missing Values indicated by '-999'
#
# PI:             SPECMAP Contributors
# Core/Site:      V19-30
# Latitude:       3.00.00S	( -3)
# Longitude:      83.00.00W	( -83)
# Water Depth(m): 3091
#
# Publications:
#   Imbrie, J., E.A. Boyle, S.C. Clemens, A. Duffy, W.R. Howard, G. Kukla, J. Kutzbach,
#     D.G. Martinson, A. McIntyre, A.C. Mix, B. Molfino, J.J. Morley, L.C. Peterson,
#     N.G. Pisias, W.L. Prell, M.E. Raymo, N.J. Shackleton, and J.R. Toggweiler. 1992.
#     On the structure and origin of major glaciation cycles. 1. Linear responses to
#     Milankovitch forcing. Paleoceanography 7:701-738.
#   Shackleton, N.J. 1987. Oxygen isotopes, ice volume and sea level. Quaternary
#     Science Reviews 6:183-190.
#   Shackleton, N.J., and N.G. Pisias. 1985. Atmospheric carbon dioxide, orbital
#     forcing, and climate. Pages 303-317 in E.T. Sundquist and W.S. Broecker, editors,
#     The Carbon Cycle and Atmospheric CO2: Natural Variations Archean to Present.
#     American Geophysical Union, Washington, D.C., USA.
#------------------
#
# Description & Notes:
#   Late Quaternary variations in ocean hydrography (SPECMAP)
#   
#
# V19-30 C14 Dates
# 
#   yrBP      radiocarbon years B.P. (Libby half-life; B.P. = 1950)
# 
#  Depth      yrBP          Error+        Error-        Notes
#  32.75       6090          180           180          GX8272
#  66.75       9935          270           270          GX8273
# 
# Variables:
#             depth         Depth (cm)
#             yrBP          radiocarbon years B.P. (Libby half-life; B.P. = 1950)
#             d13Cforams-b  delta C13 PDB (Benthic Foraminifers)
#             d18Oforams-b  delta O18 PDB (Benthic Foraminifers)
#
# CORE: V19-30
depth         yrBP          d13Cforams-b  d18Oforams-b  
 0             0             0.04          3.51         
 5             944.2         0.08          3.48         
 11            2077          0.06          3.31         
 14            2644          0.1           3.43         
 17            3210         -0.07          3.27         
 22            4154         -0.08          3.4          
 25            4721         -0.01          3.39         
 28            5287         -0.07          3.29         
 32            6043          0.07          3.56         
 38            6731         -0.1           3.56         
 41            7065          0.01          3.52         
 44            7399          0.04          3.53         
 47            7734         -0.06          3.46         
 50            8068          0.13          3.48         
 53            8403         -0.2           3.46         
 56            8737         -0.06          3.85         
 59            9071         -0.26          3.69         
 62            9406          0.05          3.87         
 65            9740         -0.14          3.42         
 68            10060         0.07          3.98         
 71            10370        -0.09          3.9          
 74            10680        -0.21          3.87         
 77            10990        -0.13          3.89         
 80            11300        -0.28          4.38         
 83            11610        -0.21          4.1          
 86            11910        -0.28          4.25         
 89            12220        -0.04          4.16         
 92            12530        -0.28          4.44         
 95            12840        -0.08          4.73         
 98            13150        -0.21          4.64         
 102           13560        -0.29          4.84         
 105           13870        -0.15          4.91         
 108           14180        -0.2           4.92         
 111           14490        -0.29          4.83         
 114           14790        -0.43          4.79         
 117           15080        -0.32          5.22         
 120           15320        -0.13          5.2          
 123           15560        -0.23          5.08         
 126           15800        -0.45          4.99         
 129           16030        -0.3           5.15         
 132           16270        -0.32          5.13         
 135           16510        -0.33          5            
 138           16750        -0.45          4.98         
 141           16990        -0.35          4.87         
 144           17230        -0.29          5.12         
 147           17460        -0.43          5.14         
 152           17860        -0.41          4.96         
 156           18180        -0.4           4.95         
 159           18420        -0.31          5.07         
 162           18660        -0.32          5.1          
 165           18900        -0.29          4.89         
 168           19130        -0.22          5.05         
 171           19370        -0.38          4.99         
 174           19610        -0.28          5            
 177           19850        -0.34          4.89         
 180           20090        -0.5           4.89         
 183           20330        -0.29          4.96         
 186           20570        -0.41          4.96         
 189           20800        -0.48          4.98         
 192           21040        -0.42          4.93         
 195           21280        -0.5           4.93         
 198           21520        -0.37          5.12         
 201           21760        -0.32          4.96         
 204           22000        -0.34          4.97         
 207           22240        -0.15          4.94         
 210           22470        -0.34          4.87         
 213           22710        -0.25          4.96         
 216           22950        -0.28          5.05         
 219           23190        -0.37          4.91         
 222           23430        -0.42          4.78         
 225           23670        -0.32          4.92         
 228           23910        -0.33          5.06         
 231           24140        -0.32          4.92         
 234           24380        -0.78          4.83         
 237           24620        -0.52          4.76         
 238           24700        -0.09          4.68         
 240           24860        -0.25          4.81         
 243           25100        -0.19          4.81         
 246           25340        -0.2           4.87         
 249           25570        -0.32          4.76         
 252           25810        -0.41          4.84         
 255           26050        -0.27          4.73         
 258           26290        -0.08          4.62         
 261           26530        -0.4           4.55         
 264           26770        -0.37          4.53         
 267           27010        -0.35          4.69         
 270           27240        -0.1           4.64         
 273           27480        -0.16          4.67         
 276           27720        -0.16          4.63         
 279           27960        -0.14          4.35         
 282           28530        -0.22          4.56         
 285           29160        -0.31          4.52         
 288           29790        -0.21          4.59         
 291           30420        -0.2           4.56         
 294           31050        -0.28          4.65         
 297           31680        -0.14          4.63         
 300           32320        -0.31          4.62         
 303           32950        -0.36          4.53         
 306           33580        -0.06          4.6          
 309           34210         0             4.64         
 312           34840        -0.28          4.74         
 315           35470        -0.22          4.55         
 318           36110         0.03          4.73         
 321           36740        -0.21          4.52         
 327           38000        -0.02          4.55         
 330           38630        -0.05          4.5          
 333           39260        -0.13          4.49         
 336           39890        -0.26          4.41         
 339           40440        -0.12          4.59         
 342           40970        -0.21          4.49         
 345           41500         0.08          4.65         
 348           42030        -0.2           4.63         
 351           42560         0.24          4.71         
 357           43630        -0.05          4.47         
 360           44160        -0.22          4.53         
 363           44690         0.02          4.53         
 366           45220        -0.19          4.58         
 369           45750        -0.24          4.62         
 375           46810        -0.26          4.59         
 393           49990        -0.09          4.52         
 396           50520        -0.3           4.53         
 399           51050        -0.19          4.66         
 405           52120         0.13          4.34         
 408           52650        -0.11          4.29         
 411           53110        -0.26          4.36         
 414           53420        -0.45          4.26         
 417           53740        -0.23          4.54         
 419           53950        -0.23          4.44         
 423           54370        -0.31          4.54         
 426           54690        -0.12          4.48         
 429           55010        -0.29          4.49         
 432           55330        -0.13          4.51         
 435           55640        -0.15          4.54         
 438           55960        -0.25          4.61         
 441           56280        -0.12          4.57         
 444           56590        -0.07          4.55         
 447           56910        -0.28          4.45         
 451           57330        -0.37          4.45         
 452           57440        -0.38          4.42         
 453           57550        -0.27          4.06         
 456           57860        -0.55          4.2          
 459           58180        -0.64          4.33         
 462           58500        -0.41          4.31         
 465           58810        -0.57          4.4          
 468           59130        -0.73          4.14         
 471           59450        -0.65          4.48         
 474           59770        -0.74          4.46         
 477           60080        -0.73          4.44         
 480           60400        -0.58          4.7          
 483           60760        -0.58          4.69         
 486           61110        -0.74          4.6          
 489           61470        -0.75          4.51         
 492           61830        -0.63          4.69         
 495           62190        -0.62          4.62         
 498           62540        -0.69          4.53         
 501           62900        -0.64          4.65         
 507           63620        -0.66          4.63         
 513           64330        -0.7           4.69         
 516           64690        -0.6           4.61         
 519           65050        -0.72          4.57         
