Core label	depth	compdepth	age	cw13	cw18
GeoB1722-3	0,01	0,01	1,00	0,26	2,65
GeoB1722-3	0,04	0,04	2,37	0,06	2,87
GeoB1722-3	0,07	0,07	3,74	0,54	2,64
GeoB1722-3	0,10	0,10	5,13	0,37	3,33
GeoB1722-3	0,13	0,13	6,54	0,60	2,67
GeoB1722-3	0,16	0,16	7,98	0,38	3,09
GeoB1722-3	0,19	0,19	9,46	-0,08	3,67
GeoB1722-3	0,22	0,22	10,99	0,36	3,24
GeoB1722-3	0,25	0,25	12,57	0,37	3,13
GeoB1722-3	0,28	0,28	14,21	0,15	3,67
GeoB1722-1	0,28	0,32	16,50	-0,23	4,35
GeoB1722-1	0,33	0,37	19,56	-0,17	4,39
GeoB1722-1	0,38	0,42	22,84	-0,09	4,23
GeoB1722-1	0,43	0,47	26,32	-0,43	4,07
GeoB1722-1	0,48	0,52	30,01	-0,12	3,92
GeoB1722-1	0,53	0,57	33,91	-0,06	3,96
GeoB1722-1	0,58	0,62	38,00	-0,33	4,01
GeoB1722-1	0,63	0,67	42,27	-0,29	3,68
GeoB1722-1	0,68	0,72	46,60	0,13	3,84
GeoB1722-1	0,73	0,77	50,88	-0,04	3,81
GeoB1722-1	0,78	0,82	54,99	0,03	3,87
GeoB1722-1	0,83	0,87	58,79	0,19	3,74
GeoB1722-1	0,88	0,92	62,17	-0,03	3,83
GeoB1722-1	0,93	0,97	65,00	-0,37	4,02
GeoB1722-1	0,98	1,02	67,20		
GeoB1722-1	1,03	1,07	68,90		
GeoB1722-1	1,08	1,12	70,26	-0,36	3,73
GeoB1722-1	1,13	1,17	71,44	0,05	3,67
GeoB1722-1	1,18	1,22	72,61	-0,13	3,84
GeoB1722-1	1,23	1,27	73,93	0,08	3,46
GeoB1722-1	1,28	1,32	75,58	0,21	3,31
GeoB1722-1	1,33	1,37	77,71	0,31	3,26
GeoB1722-1	1,38	1,42	80,50	0,10	3,11
GeoB1722-1	1,43	1,47	84,04	0,24	3,20
GeoB1722-1	1,48	1,52	88,21	0,01	3,28
GeoB1722-1	1,53	1,57	92,78	0,03	3,18
GeoB1722-1	1,58	1,62	97,58	0,10	3,17
GeoB1722-1	1,63	1,67	102,38	0,32	2,83
GeoB1722-1	1,68	1,72	107,00	0,07	3,36
GeoB1722-1	1,73	1,77	111,27	0,26	3,15
GeoB1722-1	1,78	1,82	115,21	0,17	3,26
GeoB1722-1	1,83	1,87	118,87	0,18	2,35
GeoB1722-1	1,88	1,92	122,31	0,16	2,70
GeoB1722-1	1,93	1,97	125,59	0,18	2,53
GeoB1722-1	1,98	2,02	128,76	-0,53	3,30
GeoB1722-1	2,03	2,07	131,88	0,20	3,39
GeoB1722-1	2,08	2,12	135,00	-0,48	3,96
GeoB1722-1	2,13	2,17	138,17	-0,05	3,37
GeoB1722-1	2,18	2,22	141,39	-0,24	4,21
GeoB1722-1	2,23	2,27	144,66	-0,17	3,93
GeoB1722-1	2,28	2,32	147,95	-0,31	4,11
GeoB1722-1	2,33	2,37	151,26	-0,42	4,10
GeoB1722-1	2,38	2,42	154,57	-0,47	4,10
GeoB1722-1	2,43	2,47	157,89	-0,36	4,13
GeoB1722-1	2,48	2,52	161,19	-0,14	4,08
GeoB1722-1	2,53	2,57	164,46		
