Depth.mbsf	Age.Ma	d18O.PDB	d13C.PDB
37.06	2.022	3.57	0.52
37.14	2.228	3.52	0.40
37.22	2.034	3.30	0.71
37.35	2.043	3.31	0.56
37.47	2.052	2.84	0.92
37.55	2.058	3.08	0.79
37.64	2.064	3.03	0.86
37.82	2.077	3.07	0.89
37.91	2.084	2.63	0.70
38.04	2.093	3.59	0.58
38.16	2.102	3.64	0.56
38.24	2.108	2.99	0.25
38.37	2.118	2.97	0.87
38.48	2.126	2.97	0.95
38.51	2.128	2.95	0.83
38.61	2.135	3.06	0.78
38.71	2.142	2.77	0.83
38.79	2.148	3.00	0.92
39.06	2.168	2.80	1.04
39.14	2.174	2.98	1.28
39.24	2.181	2.97	0.94
39.35	2.189	2.93	1.17
39.46	2.197	3.24	0.96
39.56	2.204	3.31	1.03
39.67	2.212	3.03	0.75
39.74	2.218	2.74	0.98
39.87	2.227	2.81	0.96
39.95	2.233	2.40	0.33
40.06	2.241	3.11	0.59
40.17	2.249	2.43	0.54
40.26	2.255	2.71	0.48
40.35	2.262	2.75	0.81
40.46	2.270	2.63	1.02
40.57	2.278	2.74	0.94
40.65	2.284	2.89	0.73
40.75	2.291	3.37	0.47
40.85	2.299	3.45	0.54
40.95	2.306	3.54	0.61
41.08	2.315	2.82	0.81
41.14	2.320	2.47	0.76
41.25	2.328	2.76	0.64
41.34	2.334	3.28	0.24
41.46	2.343	2.73	0.77
41.55	2.350	2.58	0.57
41.64	2.356	2.77	0.61
41.74	2.363	2.74	0.55
41.84	2.371	3.49	0.52
41.94	2.378	3.62	0.26
42.06	2.387	3.43	0.33
42.16	2.394	2.89	0.55
42.26	2.401	2.51	0.75
42.36	2.409	2.69	1.02
42.44	2.415	2.70	0.91
42.56	2.423	2.96	1.14
42.65	2.430	2.71	1.14
42.76	2.438	2.87	1.09
42.85	2.444	2.76	0.88
42.95	2.452	2.90	0.69
43.05	2.459	2.74	0.72
43.14	2.466	2.71	0.92
43.27	2.475	2.84	0.98
43.35	2.481	2.42	0.62
43.44	2.488	2.94	0.87
43.56	2.497	2.92	0.84
43.66	2.504	2.78	0.87
43.76	2.512	2.73	1.13
44.06	2.714	2.67	0.99
44.15	2.720	2.46	1.25
44.26	2.780	2.67	1.15
44.35	2.735	2.63	0.88
44.45	2.743	2.37	1.17
44.57	2.751	2.65	1.10
44.64	2.757	2.79	0.97
44.75	2.765	2.42	0.62
44.85	2.772	2.64	1.05
44.94	2.779	2.89	1.06
45.06	2.788	2.70	1.30
45.14	2.793	2.82	1.03
45.25	2.802	2.87	1.21
45.35	2.809	2.90	0.89
45.45	2.816	2.77	1.24
45.55	2.824	2.34	0.64
45.65	2.831	2.58	0.98
45.75	2.839	2.47	1.28
45.85	2.846	2.78	0.92
45.93	2.852	2.75	0.79
46.05	2.861	2.10	0.86
46.15	2.868	2.33	0.97
46.25	2.875	2.27	0.96
46.35	2.883	2.63	1.04
46.45	2.890	2.64	1.09
46.55	2.898	2.66	1.13
46.65	2.905	2.66	1.15
46.87	2.921	2.71	1.04
46.96	2.928	2.62	1.01
