mcd	ageCK92 607O18	607O18adj	607C13
0.0	0.0	2.64	3.28	0.88
19.2	4.7	2.52	3.16	0.96
38.3	9.4	2.69	3.33	0.88
57.5	14.1	3.02	3.66	0.70
78.8	19.3	3.71	4.35	0.55
100.7	24.7	4.43	5.07	0.15
123.5	30.3	4.35	4.99	0.17
153.2	37.5	4.18	4.82	0.22
183.0	44.8	4.01	4.65	0.59
203.0	49.7	4.16	4.80	0.76
220.0	53.9	4.03	4.67	0.76
237.7	58.2	3.95	4.59	0.72
260.3	63.8	3.89	4.53	0.84
283.0	69.3	3.81	4.45	0.74
301.7	73.9	3.94	4.58	0.97
315.8	77.4	3.81	4.45	0.85
330.0	80.8	3.55	4.19	0.77
344.2	84.3	3.59	4.23	0.32
356.6	87.4	3.91	4.55	0.03
369.0	90.4	4.02	4.66	-0.01
381.4	93.4	3.73	4.37	0.40
401.0	98.2	3.32	3.96	1.09
412.9	101.2	3.35	3.99	1.19
422.4	103.5	3.25	3.89	1.07
432.0	105.8	3.13	3.77	0.91
441.6	108.2	3.40	4.04	0.67
452.1	110.8	3.65	4.29	0.93
463.6	113.6	3.43	4.07	1.01
475.7	116.5	3.38	4.02	0.98
487.9	119.5	3.17	3.81	1.01
500.0	122.5	2.98	3.62	0.83
518.7	127.1	3.33	3.97	0.71
537.4	131.7	3.36	4.00	0.70
548.9	134.5	3.05	3.69	0.91
559.6	137.1	2.98	3.62	0.81
568.7	139.3	2.55	3.19	0.78
577.7	141.5	2.41	3.05	0.92
585.6	143.5	3.20	3.84	0.29
601.0	147.2	4.00	4.64	0.12
632.2	154.9	4.25	4.89	-0.17
649.0	159.0	4.29	4.93	-0.25
655.7	160.6	4.33	4.97	-0.03
661.5	162.1	4.19	4.83	-0.02
667.2	163.5	4.10	4.74	0.07
675.1	165.4	3.94	4.58	0.14
684.8	167.8	3.95	4.59	-0.13
694.5	170.1	3.96	4.60	0.09
704.2	172.5	3.74	4.38	0.14
713.9	174.9	3.71	4.35	0.21
722.9	177.1	3.66	4.30	0.28
730.6	179.0	3.72	4.36	0.38
738.3	180.9	3.86	4.50	0.17
746.0	182.8	3.78	4.42	0.08
753.7	184.6	3.88	4.52	0.04
761.4	186.5	3.97	4.61	-0.18
777.3	190.4	3.69	4.33	0.02
800.5	196.1	3.42	4.06	0.61
823.6	201.8	3.09	3.73	0.86
829.6	203.2	2.84	3.48	0.85
834.7	204.5	3.05	3.69	0.84
839.7	205.7	3.16	3.80	1.09
844.8	207.0	2.99	3.63	0.92
849.8	208.2	2.91	3.55	0.97
854.8	209.4	2.92	3.56	0.86
861.4	211.0	2.97	3.61	0.80
869.8	213.1	2.89	3.53	0.38
875.0	214.4	2.92	3.56	0.26
880.0	215.6	4.03	4.67	0.44
885.0	216.8	3.69	4.33	0.53
890.0	218.0	3.35	3.99	0.62
895.0	219.3	3.64	4.28	0.83
900.0	220.5	3.00	3.64	0.79
905.0	221.7	2.81	3.45	0.70
910.0	222.9	2.76	3.40	0.72
915.0	224.2	3.27	3.91	0.56
932.0	228.3	3.76	4.40	0.62
948.0	232.2	4.06	4.70	0.39
962.0	235.7	4.06	4.70	-0.03
978.0	239.6	4.00	4.64	0.50
992.0	243.0	3.80	4.44	0.28
1008.0	246.9	3.74	4.38	0.50
1022.0	250.4	3.83	4.47	0.47
1038.0	254.3	3.48	4.12	-0.39
1052.5	257.8	3.75	4.39	0.33
1058.5	259.3	2.91	3.55	0.74
1075.5	263.5	3.50	4.14	-0.30
1088.5	266.7	3.79	4.43	-0.15
1103.5	270.3	3.65	4.29	0.44
1118.5	274.0	3.39	4.03	0.91
1133.5	277.7	3.22	3.86	0.77
1148.5	281.4	3.21	3.85	0.68
1163.5	285.0	3.35	3.99	-0.32
1178.5	288.7	3.58	4.22	0.13
1200.5	294.1	3.61	4.25	0.54
1208.5	296.1	3.55	4.19	0.69
1225.5	300.2	3.26	3.90	0.36
1238.5	303.4	3.24	3.88	0.49
1253.5	307.1	2.93	3.57	0.39
1268.5	310.8	2.87	3.51	0.72
1283.5	314.4	2.45	3.09	0.56
1298.5	318.1	2.29	2.93	0.51
1313.5	321.8	2.60	3.24	0.71
1328.5	325.5	2.89	3.53	-0.12
1350.5	330.8	3.17	3.81	-0.43
1358.5	332.8	4.13	4.77	-0.27
1375.5	337.0	3.88	4.52	-0.43
1388.5	340.2	3.76	4.40	-0.06
1403.5	343.8	4.07	4.71	0.14
1418.5	347.5	3.73	4.37	0.83
1433.5	351.2	3.48	4.12	-0.49
1448.5	354.9	3.80	4.44	-0.28
1470.5	360.2	3.75	4.39	0.48
1478.5	362.2	3.75	4.39	0.20
1486.5	364.2	3.63	4.27	0.06
1500.5	367.6	3.70	4.34	0.41
1508.5	369.5	3.58	4.22	0.54
1525.5	373.7	3.61	4.25	0.19
1538.5	376.9	3.56	4.20	0.75
1553.5	380.6	3.32	3.96	0.83
1568.5	384.2	3.24	3.88	0.92
1583.5	387.9	3.14	3.78	0.84
1598.5	391.6	3.10	3.74	0.85
1613.5	395.3	2.92	3.56	0.97
1620.5	397.0	2.77	3.41	1.23
1628.5	398.9	2.65	3.29	1.30
1650.5	404.3	2.40	3.04	1.29
1658.5	406.3	2.17	2.81	1.06
1675.5	410.5	2.54	3.18	1.05
1688.5	413.6	2.69	3.33	1.01
1703.5	417.3	3.03	3.67	0.93
1718.5	421.0	3.00	3.64	0.73
